pub_date	title	venue	excerpt	url_slug	paper_url
2022-04-04	Optimizing Network Provisioning through Cooperation	USENIX NSDI	Harsha Sharma, Parth Thakkar, Sagar Bharadwaj, Ranjita Bhagwan, Venkata N Padmanabhan (Microsoft Research), Yogesh Bansal, Vijay Kumar, Kathleen Voelbel (Microsoft)	approv	https://hs256.github.io/files/Approv.pdf
2020-08-10	Symbolic Execution for Network Functions with Time-Driven Logic	IEEE MASCOTS	Harsha Sharma, Wenfei Wu, Bangwen Deng (Tsinghua University)	nfse	https://hs256.github.io/files/NFSE.pdf
